source_id,source_type,target_id,target_type,declared_in,line_number
A-0010,A,ST-0045,ST,03_knowledge_base/assumptions/A-0010_social_signals_transfer_to_nonsocial_judgments.md,32
A-0010,A,ST-0046,ST,03_knowledge_base/assumptions/A-0010_social_signals_transfer_to_nonsocial_judgments.md,33
A-0011,A,MOD-0002,MOD,03_knowledge_base/assumptions/A-0011_compliance_agents_redirect_existing_forces.md,30
A-0011,A,ST-0032,ST,03_knowledge_base/assumptions/A-0011_compliance_agents_redirect_existing_forces.md,23
A-0011,A,ST-0035,ST,03_knowledge_base/assumptions/A-0011_compliance_agents_redirect_existing_forces.md,24
A-0011,A,ST-0036,ST,03_knowledge_base/assumptions/A-0011_compliance_agents_redirect_existing_forces.md,25
A-0011,A,ST-0040,ST,03_knowledge_base/assumptions/A-0011_compliance_agents_redirect_existing_forces.md,26
A-0012,A,MEC-0003,MEC,03_knowledge_base/assumptions/A-0012_restriction_of_availability_increases_desire.md,32
A-0012,A,MOD-0002,MOD,03_knowledge_base/assumptions/A-0012_restriction_of_availability_increases_desire.md,31
A-0012,A,ST-0047,ST,03_knowledge_base/assumptions/A-0012_restriction_of_availability_increases_desire.md,26
A-0012,A,ST-0048,ST,03_knowledge_base/assumptions/A-0012_restriction_of_availability_increases_desire.md,27
A-0013,A,A-0005,A,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,19
A-0013,A,MEC-0010,MEC,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,67
A-0013,A,ST-0051,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,23
A-0013,A,ST-0053,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,24
A-0013,A,ST-0054,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,25
A-0013,A,ST-0055,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,26
A-0013,A,ST-0069,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,27
A-0013,A,ST-0070,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,28
A-0013,A,ST-0071,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,47
A-0013,A,ST-0082,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,34
A-0013,A,ST-0089,ST,03_knowledge_base/assumptions/A-0013_emotionen_sind_das_primaere_verhandlungsmedium.md,29
A-0014,A,A-0005,A,03_knowledge_base/assumptions/A-0014_verlustangst_ueberwiegt_gewinnerwartung.md,51
A-0014,A,A-0008,A,03_knowledge_base/assumptions/A-0014_verlustangst_ueberwiegt_gewinnerwartung.md,33
A-0014,A,ST-0061,ST,03_knowledge_base/assumptions/A-0014_verlustangst_ueberwiegt_gewinnerwartung.md,23
A-0014,A,ST-0086,ST,03_knowledge_base/assumptions/A-0014_verlustangst_ueberwiegt_gewinnerwartung.md,24
A-0014,A,ST-0092,ST,03_knowledge_base/assumptions/A-0014_verlustangst_ueberwiegt_gewinnerwartung.md,26
A-0014,A,ST-0102,ST,03_knowledge_base/assumptions/A-0014_verlustangst_ueberwiegt_gewinnerwartung.md,25
A-0015,A,ST-0077,ST,03_knowledge_base/assumptions/A-0015_sicherheit_und_kontrolle_als_primaere_beduerfnisse.md,24
A-0015,A,ST-0078,ST,03_knowledge_base/assumptions/A-0015_sicherheit_und_kontrolle_als_primaere_beduerfnisse.md,23
A-0015,A,ST-0079,ST,03_knowledge_base/assumptions/A-0015_sicherheit_und_kontrolle_als_primaere_beduerfnisse.md,34
A-0015,A,ST-0087,ST,03_knowledge_base/assumptions/A-0015_sicherheit_und_kontrolle_als_primaere_beduerfnisse.md,25
A-0015,A,ST-0088,ST,03_knowledge_base/assumptions/A-0015_sicherheit_und_kontrolle_als_primaere_beduerfnisse.md,26
A-0015,A,ST-0100,ST,03_knowledge_base/assumptions/A-0015_sicherheit_und_kontrolle_als_primaere_beduerfnisse.md,27
A-0015,A,ST-0102,ST,03_knowledge_base/assumptions/A-0015_sicherheit_und_kontrolle_als_primaere_beduerfnisse.md,28
A-0016,A,ST-0062,ST,03_knowledge_base/assumptions/A-0016_unbekannte_information_existiert_in_jeder_verhandlung.md,24
A-0016,A,ST-0067,ST,03_knowledge_base/assumptions/A-0016_unbekannte_information_existiert_in_jeder_verhandlung.md,32
A-0016,A,ST-0101,ST,03_knowledge_base/assumptions/A-0016_unbekannte_information_existiert_in_jeder_verhandlung.md,23
A-0016,A,ST-0104,ST,03_knowledge_base/assumptions/A-0016_unbekannte_information_existiert_in_jeder_verhandlung.md,25
A-0016,A,ST-0105,ST,03_knowledge_base/assumptions/A-0016_unbekannte_information_existiert_in_jeder_verhandlung.md,26
A-0017,A,A-0009,A,03_knowledge_base/assumptions/A-0017_verbale_zustimmung_und_commitment_divergieren.md,49
A-0017,A,ST-0076,ST,03_knowledge_base/assumptions/A-0017_verbale_zustimmung_und_commitment_divergieren.md,23
A-0017,A,ST-0080,ST,03_knowledge_base/assumptions/A-0017_verbale_zustimmung_und_commitment_divergieren.md,26
A-0017,A,ST-0082,ST,03_knowledge_base/assumptions/A-0017_verbale_zustimmung_und_commitment_divergieren.md,32
A-0017,A,ST-0091,ST,03_knowledge_base/assumptions/A-0017_verbale_zustimmung_und_commitment_divergieren.md,27
A-0017,A,ST-0092,ST,03_knowledge_base/assumptions/A-0017_verbale_zustimmung_und_commitment_divergieren.md,24
A-0017,A,ST-0093,ST,03_knowledge_base/assumptions/A-0017_verbale_zustimmung_und_commitment_divergieren.md,25
A-0018,A,MEC-0007,MEC,03_knowledge_base/assumptions/A-0018_relationship_building_verliert_in_komplexem_vertrieb.md,31
A-0018,A,ST-0109,ST,03_knowledge_base/assumptions/A-0018_relationship_building_verliert_in_komplexem_vertrieb.md,23
A-0018,A,ST-0117,ST,03_knowledge_base/assumptions/A-0018_relationship_building_verliert_in_komplexem_vertrieb.md,24
A-0018,A,ST-0118,ST,03_knowledge_base/assumptions/A-0018_relationship_building_verliert_in_komplexem_vertrieb.md,25
A-0018,A,ST-0122,ST,03_knowledge_base/assumptions/A-0018_relationship_building_verliert_in_komplexem_vertrieb.md,26
A-0019,A,ST-0122,ST,03_knowledge_base/assumptions/A-0019_kundenloyalitaet_entsteht_durch_sales_experience.md,25
A-0019,A,ST-0123,ST,03_knowledge_base/assumptions/A-0019_kundenloyalitaet_entsteht_durch_sales_experience.md,26
A-0019,A,ST-0125,ST,03_knowledge_base/assumptions/A-0019_kundenloyalitaet_entsteht_durch_sales_experience.md,27
A-0020,A,P-0025,P,03_knowledge_base/assumptions/A-0020_kunden_wollen_gelehrt_nicht_nur_befragt_werden.md,55
A-0020,A,ST-0111,ST,03_knowledge_base/assumptions/A-0020_kunden_wollen_gelehrt_nicht_nur_befragt_werden.md,26
A-0020,A,ST-0123,ST,03_knowledge_base/assumptions/A-0020_kunden_wollen_gelehrt_nicht_nur_befragt_werden.md,23
A-0020,A,ST-0124,ST,03_knowledge_base/assumptions/A-0020_kunden_wollen_gelehrt_nicht_nur_befragt_werden.md,24
A-0020,A,ST-0125,ST,03_knowledge_base/assumptions/A-0020_kunden_wollen_gelehrt_nicht_nur_befragt_werden.md,25
A-0021,A,ST-0118,ST,03_knowledge_base/assumptions/A-0021_konstruktive_spannung_ist_produktiv_in_b2b_verkauf.md,25
A-0021,A,ST-0124,ST,03_knowledge_base/assumptions/A-0021_konstruktive_spannung_ist_produktiv_in_b2b_verkauf.md,26
A-0021,A,ST-0128,ST,03_knowledge_base/assumptions/A-0021_konstruktive_spannung_ist_produktiv_in_b2b_verkauf.md,27
A-0022,A,ST-0113,ST,03_knowledge_base/assumptions/A-0022_konsensbasierter_kauf_ist_strukturelle_realitaet_im_b2b.md,26
A-0022,A,ST-0126,ST,03_knowledge_base/assumptions/A-0022_konsensbasierter_kauf_ist_strukturelle_realitaet_im_b2b.md,25
A-0022,A,ST-0127,ST,03_knowledge_base/assumptions/A-0022_konsensbasierter_kauf_ist_strukturelle_realitaet_im_b2b.md,27
A-0023,A,ST-0119,ST,03_knowledge_base/assumptions/A-0023_vertriebsverhalten_ist_trainierbar_nicht_persoenlichkeitsgebunden.md,25
A-0023,A,ST-0121,ST,03_knowledge_base/assumptions/A-0023_vertriebsverhalten_ist_trainierbar_nicht_persoenlichkeitsgebunden.md,27
A-0023,A,ST-0132,ST,03_knowledge_base/assumptions/A-0023_vertriebsverhalten_ist_trainierbar_nicht_persoenlichkeitsgebunden.md,19
A-0024,A,A-0027,A,03_knowledge_base/assumptions/A-0024_gap_als_notwendige_kaufvoraussetzung.md,42
A-0024,A,MEC-0002,MEC,03_knowledge_base/assumptions/A-0024_gap_als_notwendige_kaufvoraussetzung.md,39
A-0024,A,MEC-0006,MEC,03_knowledge_base/assumptions/A-0024_gap_als_notwendige_kaufvoraussetzung.md,47
A-0024,A,ST-0133,ST,03_knowledge_base/assumptions/A-0024_gap_als_notwendige_kaufvoraussetzung.md,40
A-0024,A,ST-0136,ST,03_knowledge_base/assumptions/A-0024_gap_als_notwendige_kaufvoraussetzung.md,41
A-0025,A,A-0024,A,03_knowledge_base/assumptions/A-0025_budget_ist_funktion_der_gap_groesse.md,39
A-0025,A,A-0027,A,03_knowledge_base/assumptions/A-0025_budget_ist_funktion_der_gap_groesse.md,40
A-0025,A,MEC-0002,MEC,03_knowledge_base/assumptions/A-0025_budget_ist_funktion_der_gap_groesse.md,25
A-0025,A,ST-0138,ST,03_knowledge_base/assumptions/A-0025_budget_ist_funktion_der_gap_groesse.md,42
A-0026,A,A-0024,A,03_knowledge_base/assumptions/A-0026_business_impact_treibt_kaufentscheidungen.md,41
A-0026,A,MEC-0002,MEC,03_knowledge_base/assumptions/A-0026_business_impact_treibt_kaufentscheidungen.md,40
A-0026,A,ST-0140,ST,03_knowledge_base/assumptions/A-0026_business_impact_treibt_kaufentscheidungen.md,39
A-0026,A,T-0003,T,03_knowledge_base/assumptions/A-0026_business_impact_treibt_kaufentscheidungen.md,42
A-0027,A,A-0024,A,03_knowledge_base/assumptions/A-0027_cost_of_inaction_als_primaeres_kaufargument.md,40
A-0027,A,A-0025,A,03_knowledge_base/assumptions/A-0027_cost_of_inaction_als_primaeres_kaufargument.md,41
A-0027,A,MEC-0002,MEC,03_knowledge_base/assumptions/A-0027_cost_of_inaction_als_primaeres_kaufargument.md,25
A-0027,A,ST-0142,ST,03_knowledge_base/assumptions/A-0027_cost_of_inaction_als_primaeres_kaufargument.md,42
A-0027,A,ST-0149,ST,03_knowledge_base/assumptions/A-0027_cost_of_inaction_als_primaeres_kaufargument.md,43
A-0028,A,A-0024,A,03_knowledge_base/assumptions/A-0028_intrinsische_motivation_als_emotionaler_kaufkern.md,40
A-0028,A,A-0026,A,03_knowledge_base/assumptions/A-0028_intrinsische_motivation_als_emotionaler_kaufkern.md,42
A-0028,A,A-0027,A,03_knowledge_base/assumptions/A-0028_intrinsische_motivation_als_emotionaler_kaufkern.md,51
A-0028,A,MEC-0002,MEC,03_knowledge_base/assumptions/A-0028_intrinsische_motivation_als_emotionaler_kaufkern.md,41
A-0028,A,MEC-0004,MEC,03_knowledge_base/assumptions/A-0028_intrinsische_motivation_als_emotionaler_kaufkern.md,47
A-0028,A,MEC-0010,MEC,03_knowledge_base/assumptions/A-0028_intrinsische_motivation_als_emotionaler_kaufkern.md,46
A-0028,A,ST-0143,ST,03_knowledge_base/assumptions/A-0028_intrinsische_motivation_als_emotionaler_kaufkern.md,39
A-0029,A,A-0018,A,03_knowledge_base/assumptions/A-0029_expertise_credibility_als_discovery_gate.md,25
A-0029,A,MEC-0007,MEC,03_knowledge_base/assumptions/A-0029_expertise_credibility_als_discovery_gate.md,63
A-0029,A,MEC-0008,MEC,03_knowledge_base/assumptions/A-0029_expertise_credibility_als_discovery_gate.md,21
A-0029,A,MEC-0030,MEC,03_knowledge_base/assumptions/A-0029_expertise_credibility_als_discovery_gate.md,59
A-0029,A,MOD-0004,MOD,03_knowledge_base/assumptions/A-0029_expertise_credibility_als_discovery_gate.md,43
A-0029,A,ST-0135,ST,03_knowledge_base/assumptions/A-0029_expertise_credibility_als_discovery_gate.md,42
A-0029,A,ST-0146,ST,03_knowledge_base/assumptions/A-0029_expertise_credibility_als_discovery_gate.md,41
A-0030,A,MEC-0016,MEC,03_knowledge_base/assumptions/A-0030_kundenunentschlossenheit_ist_eigenstaendiges_problem.md,25
A-0030,A,P-0027,P,03_knowledge_base/assumptions/A-0030_kundenunentschlossenheit_ist_eigenstaendiges_problem.md,25
A-0030,A,ST-0151,ST,03_knowledge_base/assumptions/A-0030_kundenunentschlossenheit_ist_eigenstaendiges_problem.md,13
A-0030,A,ST-0155,ST,03_knowledge_base/assumptions/A-0030_kundenunentschlossenheit_ist_eigenstaendiges_problem.md,25
A-0031,A,MEC-0016,MEC,03_knowledge_base/assumptions/A-0031_fomu_ist_primaerer_treiber_nach_statusquo_ueberwmdung.md,25
A-0031,A,ST-0155,ST,03_knowledge_base/assumptions/A-0031_fomu_ist_primaerer_treiber_nach_statusquo_ueberwmdung.md,25
A-0031,A,T-0029,T,03_knowledge_base/assumptions/A-0031_fomu_ist_primaerer_treiber_nach_statusquo_ueberwmdung.md,25
A-0032,A,MEC-0015,MEC,03_knowledge_base/assumptions/A-0032_optionsvielfalt_verschlechtert_kaufentscheidungen.md,25
A-0032,A,P-0028,P,03_knowledge_base/assumptions/A-0032_optionsvielfalt_verschlechtert_kaufentscheidungen.md,25
A-0032,A,ST-0156,ST,03_knowledge_base/assumptions/A-0032_optionsvielfalt_verschlechtert_kaufentscheidungen.md,25
A-0032,A,T-0027,T,03_knowledge_base/assumptions/A-0032_optionsvielfalt_verschlechtert_kaufentscheidungen.md,25
A-0033,A,A-0021,A,03_knowledge_base/assumptions/A-0033_fud_ist_kontraproduktiv_bei_fomu.md,30
A-0033,A,MEC-0003,MEC,03_knowledge_base/assumptions/A-0033_fud_ist_kontraproduktiv_bei_fomu.md,21
A-0033,A,MEC-0016,MEC,03_knowledge_base/assumptions/A-0033_fud_ist_kontraproduktiv_bei_fomu.md,25
A-0033,A,P-0030,P,03_knowledge_base/assumptions/A-0033_fud_ist_kontraproduktiv_bei_fomu.md,25
A-0033,A,ST-0159,ST,03_knowledge_base/assumptions/A-0033_fud_ist_kontraproduktiv_bei_fomu.md,25
A-0034,A,MEC-0008,MEC,03_knowledge_base/assumptions/A-0034_informationsueberwältigung_erhoht_wert_des_trusted_guide.md,25
A-0034,A,MEC-0030,MEC,03_knowledge_base/assumptions/A-0034_informationsueberwältigung_erhoht_wert_des_trusted_guide.md,32
A-0034,A,ST-0161,ST,03_knowledge_base/assumptions/A-0034_informationsueberwältigung_erhoht_wert_des_trusted_guide.md,25
A-0034,A,T-0030,T,03_knowledge_base/assumptions/A-0034_informationsueberwältigung_erhoht_wert_des_trusted_guide.md,25
A-0035,A,A-0023,A,03_knowledge_base/assumptions/A-0035_jolt_faehigkeiten_sind_trainierbar.md,13
A-0035,A,ST-0163,ST,03_knowledge_base/assumptions/A-0035_jolt_faehigkeiten_sind_trainierbar.md,21
A-0036,A,MEC-0017,MEC,03_knowledge_base/assumptions/A-0036_positionen_und_interessen_sind_verschieden.md,16
A-0036,A,P-0031,P,03_knowledge_base/assumptions/A-0036_positionen_und_interessen_sind_verschieden.md,16
A-0036,A,ST-0166,ST,03_knowledge_base/assumptions/A-0036_positionen_und_interessen_sind_verschieden.md,16
A-0036,A,T-0032,T,03_knowledge_base/assumptions/A-0036_positionen_und_interessen_sind_verschieden.md,16
A-0037,A,MEC-0010,MEC,03_knowledge_base/assumptions/A-0037_beziehung_und_inhalt_muessen_getrennt_werden.md,16
A-0037,A,P-0034,P,03_knowledge_base/assumptions/A-0037_beziehung_und_inhalt_muessen_getrennt_werden.md,16
A-0037,A,ST-0168,ST,03_knowledge_base/assumptions/A-0037_beziehung_und_inhalt_muessen_getrennt_werden.md,16
A-0038,A,P-0033,P,03_knowledge_base/assumptions/A-0038_batna_schuetzt_vor_ueber_und_unter_einigung.md,16
A-0038,A,ST-0167,ST,03_knowledge_base/assumptions/A-0038_batna_schuetzt_vor_ueber_und_unter_einigung.md,16
A-0038,A,T-0031,T,03_knowledge_base/assumptions/A-0038_batna_schuetzt_vor_ueber_und_unter_einigung.md,16
A-0039,A,A-0036,A,03_knowledge_base/assumptions/A-0039_principled_negotiation_uebertrifft_positionelles_feilschen.md,16
A-0039,A,MOD-0007,MOD,03_knowledge_base/assumptions/A-0039_principled_negotiation_uebertrifft_positionelles_feilschen.md,16
A-0039,A,ST-0165,ST,03_knowledge_base/assumptions/A-0039_principled_negotiation_uebertrifft_positionelles_feilschen.md,16
A-0040,A,MEC-0018,MEC,03_knowledge_base/assumptions/A-0040_frame_before_message_equals_message.md,29
A-0040,A,P-0035,P,03_knowledge_base/assumptions/A-0040_frame_before_message_equals_message.md,31
A-0040,A,ST-0175,ST,03_knowledge_base/assumptions/A-0040_frame_before_message_equals_message.md,30
A-0041,A,MEC-0006,MEC,03_knowledge_base/assumptions/A-0041_presuasion_effects_temporary_without_commitment.md,32
A-0041,A,ST-0178,ST,03_knowledge_base/assumptions/A-0041_presuasion_effects_temporary_without_commitment.md,30
A-0041,A,ST-0183,ST,03_knowledge_base/assumptions/A-0041_presuasion_effects_temporary_without_commitment.md,29
A-0041,A,T-0036,T,03_knowledge_base/assumptions/A-0041_presuasion_effects_temporary_without_commitment.md,31
A-0042,A,MEC-0007,MEC,03_knowledge_base/assumptions/A-0042_shared_identity_categorically_different_from_similarity.md,13
A-0042,A,MEC-0019,MEC,03_knowledge_base/assumptions/A-0042_shared_identity_categorically_different_from_similarity.md,29
A-0042,A,ST-0181,ST,03_knowledge_base/assumptions/A-0042_shared_identity_categorically_different_from_similarity.md,31
A-0042,A,T-0037,T,03_knowledge_base/assumptions/A-0042_shared_identity_categorically_different_from_similarity.md,32
A-0043,A,MEC-0003,MEC,03_knowledge_base/assumptions/A-0043_unrecognized_priming_is_more_effective.md,30
A-0043,A,MEC-0018,MEC,03_knowledge_base/assumptions/A-0043_unrecognized_priming_is_more_effective.md,29
A-0043,A,T-0035,T,03_knowledge_base/assumptions/A-0043_unrecognized_priming_is_more_effective.md,31
A-0044,A,A-0001,A,03_knowledge_base/assumptions/A-0044_ehrlichkeit_effektiver_als_taeuschung.md,34
A-0044,A,ST-0187,ST,03_knowledge_base/assumptions/A-0044_ehrlichkeit_effektiver_als_taeuschung.md,33
A-0045,A,A-0044,A,03_knowledge_base/assumptions/A-0045_prosozialmotivation_uebertrifft_eigennutz.md,28
A-0045,A,MEC-0030,MEC,03_knowledge_base/assumptions/A-0045_prosozialmotivation_uebertrifft_eigennutz.md,36
A-0045,A,MOD-0009,MOD,03_knowledge_base/assumptions/A-0045_prosozialmotivation_uebertrifft_eigennutz.md,34
A-0045,A,P-0040,P,03_knowledge_base/assumptions/A-0045_prosozialmotivation_uebertrifft_eigennutz.md,33
A-0045,A,ST-0192,ST,03_knowledge_base/assumptions/A-0045_prosozialmotivation_uebertrifft_eigennutz.md,17
A-0046,A,ST-0193,ST,03_knowledge_base/assumptions/A-0046_improvisationsskills_erlernbar_transferierbar.md,33
A-0046,A,T-0039,T,03_knowledge_base/assumptions/A-0046_improvisationsskills_erlernbar_transferierbar.md,34
A-0047,A,MEC-0012,MEC,03_knowledge_base/assumptions/A-0047_kaufentscheidungen_primaer_system1.md,26
A-0047,A,P-0041,P,03_knowledge_base/assumptions/A-0047_kaufentscheidungen_primaer_system1.md,27
A-0047,A,ST-0194,ST,03_knowledge_base/assumptions/A-0047_kaufentscheidungen_primaer_system1.md,9
A-0048,A,MEC-0002,MEC,03_knowledge_base/assumptions/A-0048_anker_sollten_proaktiv_gesetzt_werden.md,33
A-0048,A,MEC-0021,MEC,03_knowledge_base/assumptions/A-0048_anker_sollten_proaktiv_gesetzt_werden.md,31
A-0048,A,ST-0195,ST,03_knowledge_base/assumptions/A-0048_anker_sollten_proaktiv_gesetzt_werden.md,9
A-0048,A,ST-0269,ST,03_knowledge_base/assumptions/A-0048_anker_sollten_proaktiv_gesetzt_werden.md,23
A-0048,A,T-0040,T,03_knowledge_base/assumptions/A-0048_anker_sollten_proaktiv_gesetzt_werden.md,32
A-0049,A,A-0013,A,03_knowledge_base/assumptions/A-0049_emotionale_zustaende_uebertragen_sich_unwillkuerlich.md,17
A-0049,A,MEC-0022,MEC,03_knowledge_base/assumptions/A-0049_emotionale_zustaende_uebertragen_sich_unwillkuerlich.md,27
A-0049,A,P-0016,P,03_knowledge_base/assumptions/A-0049_emotionale_zustaende_uebertragen_sich_unwillkuerlich.md,28
A-0049,A,ST-0208,ST,03_knowledge_base/assumptions/A-0049_emotionale_zustaende_uebertragen_sich_unwillkuerlich.md,21
A-0049,A,ST-0209,ST,03_knowledge_base/assumptions/A-0049_emotionale_zustaende_uebertragen_sich_unwillkuerlich.md,22
A-0050,A,A-0008,A,03_knowledge_base/assumptions/A-0050_null_preis_wird_kategorial_anders_verarbeitet.md,17
A-0050,A,MEC-0023,MEC,03_knowledge_base/assumptions/A-0050_null_preis_wird_kategorial_anders_verarbeitet.md,27
A-0050,A,ST-0225,ST,03_knowledge_base/assumptions/A-0050_null_preis_wird_kategorial_anders_verarbeitet.md,21
A-0050,A,ST-0226,ST,03_knowledge_base/assumptions/A-0050_null_preis_wird_kategorial_anders_verarbeitet.md,22
A-0051,A,MEC-0005,MEC,03_knowledge_base/assumptions/A-0051_marktnormen_verdraengen_sozialnormen_irreversibel.md,26
A-0051,A,P-0009,P,03_knowledge_base/assumptions/A-0051_marktnormen_verdraengen_sozialnormen_irreversibel.md,27
A-0051,A,ST-0240,ST,03_knowledge_base/assumptions/A-0051_marktnormen_verdraengen_sozialnormen_irreversibel.md,21
